chain_name;wallet_address;transaction_type;transaction_status;sent_amount;transaction_url;date;error
Polygon;0xd9594eeD6a297D7c8DA4887b5A204c539E4fA0f7;SELF-transaction;SUCCESS;0.0005775510204081633;https://mumbai.polygonscan.com/tx/0x9bd8eb1fb681d61c936f9246c0e3e786f21c23a6898428fe26f02e79467aacdb;14-11-2023;-
Polygon;0x9edFF45fb47dd8eE43F2227eafE9345D3D30b63a;RANDOM-transaction;SUCCESS;0.00046734693877551023;https://mumbai.polygonscan.com/tx/0x11eb54619f1ea5f70de9ab4bf04d89eafd002996b1f72c9c15ba1b89d48bccd0;14-11-2023;-
Polygon;0xAc64062A39172ef043DC68bdAC0e8a94FC19042e;SELF-transaction;SUCCESS;0.000779591836734694;https://mumbai.polygonscan.com/tx/0xee3dc0a3878fe9337cecf2673a76d872ff13aae447599f43401a5d6054815c72;14-11-2023;-
Polygon;0xd9594eeD6a297D7c8DA4887b5A204c539E4fA0f7;SELF-transaction;SUCCESS;0.0007061224489795919;https://mumbai.polygonscan.com/tx/0xd0c9a6a3f76d68b9064222ad842c9b4aca62579512338522d03e1dab005cf8f4;14-11-2023;-
Polygon;0x1364aa030fF4F4a683B8E07471b70b4627d03476;SELF-transaction;SUCCESS;0.000779591836734694;https://mumbai.polygonscan.com/tx/0xb7b45a0cc15c82ff51bb055f46eec2e256e0f4eee092feb7f8276b31c79ac704;14-11-2023;-
Polygon;0x9edFF45fb47dd8eE43F2227eafE9345D3D30b63a;RANDOM-transaction;SUCCESS;0.00028367346938775514;https://mumbai.polygonscan.com/tx/0xb355806dea81c676c2d07b37c70a76347a24ca2c1985724d8c134d6640895b83;14-11-2023;-
Polygon;0xAc64062A39172ef043DC68bdAC0e8a94FC19042e;RANDOM-transaction;SUCCESS;0.00011836734693877552;https://mumbai.polygonscan.com/tx/0x53599916ebea380b3a119c33a5fc42e8a3e866810442bdbdb106655de2452d14;14-11-2023;-
Polygon;0xd9594eeD6a297D7c8DA4887b5A204c539E4fA0f7;SELF-transaction;SUCCESS;0.0009265306122448981;https://mumbai.polygonscan.com/tx/0x0240949e4ef1c9f08b15dcf741953b3efe85f1767475c61aa79f1d566c3330b2;14-11-2023;-
Polygon;0x1364aa030fF4F4a683B8E07471b70b4627d03476;RANDOM-transaction;SUCCESS;0.0002469387755102041;https://mumbai.polygonscan.com/tx/0xfdf38967da59fcde13d6fe9d67951fbc5591d78edc79105c92f2725a70e5a1b7;14-11-2023;-
Polygon;0x9edFF45fb47dd8eE43F2227eafE9345D3D30b63a;SELF-transaction;SUCCESS;0.0009265306122448981;https://mumbai.polygonscan.com/tx/0x1f40443ede6e955cb697cdc42bf9bb66c597b382b46a011eb530105087dd0f87;14-11-2023;-
Polygon;0xAc64062A39172ef043DC68bdAC0e8a94FC19042e;RANDOM-transaction;SUCCESS;0.00019183673469387756;https://mumbai.polygonscan.com/tx/0xe21f9c10b130a3c1a9af3833347e1523cc63a555eedee8585e55cf7b5da2e38f;14-11-2023;-
Polygon;0xd9594eeD6a297D7c8DA4887b5A204c539E4fA0f7;SELF-transaction;SUCCESS;0.0007061224489795919;https://mumbai.polygonscan.com/tx/0x69c69f8d38965b36c972f1f9a74f7ec31f795f2bf1f2d6aa0bf8c2f4b0187d5c;14-11-2023;-
Polygon;0x1364aa030fF4F4a683B8E07471b70b4627d03476;RANDOM-transaction;SUCCESS;0.00022857142857142857;https://mumbai.polygonscan.com/tx/0x86f68debddef2903d2cbdb3534ee8cf27539fb0febc9f44f870ad68b6f0d9300;14-11-2023;-
Polygon;0xAc64062A39172ef043DC68bdAC0e8a94FC19042e;RANDOM-transaction;SUCCESS;0.0003204081632653061;https://mumbai.polygonscan.com/tx/0xed4317c71beb15b91dda48014366fa4837d01630c69ffe30e7c5e045cbf33254;14-11-2023;-
Polygon;0x9edFF45fb47dd8eE43F2227eafE9345D3D30b63a;RANDOM-transaction;ERROR;0.0009081632653061226;-;14-11-2023;{'code': -32000, 'message': 'ALREADY_EXISTS: already known'}
Polygon;0xd9594eeD6a297D7c8DA4887b5A204c539E4fA0f7;SELF-transaction;SUCCESS;0.0009448979591836736;https://mumbai.polygonscan.com/tx/0xce376b360030477f8f6c35e395919be7593292efaa04eb5c5375f8ff5b820004;14-11-2023;-
